3999.64	-0.119298	0.0766352	0.0348369	-0.0579001	0.0570699	-0.00601505	-0.0111688	0.0758045	-0.0152878	0.039141	0.232207	-0.0100819	0.0479157	0.0528272	-0.00590714	0.0495107	0.252085	0.128195	0.0620162	0.072012	-0.0166174	0.140722	0.0850317	0.00723157	-0.0330058	0.0791231	-0.0416176	0.0576622	-0.0334057
3997.71	-0.11943	0.0766713	0.0350462	-0.0584354	0.0565442	-0.00642556	-0.0117424	0.0759134	-0.0151821	0.0390087	0.232542	-0.010294	0.0475369	0.0532241	-0.00588919	0.0499691	0.251992	0.128634	0.0619983	0.0715976	-0.0172182	0.140511	0.0855335	0.00705541	-0.032884	0.0790889	-0.0414624	0.0583175	-0.0335229
3995.78	-0.119572	0.077935	0.0358294	-0.0581519	0.0568737	-0.00536937	-0.0112392	0.0767597	-0.015222	0.0394195	0.233783	-0.00989696	0.0473389	0.0529587	-0.00530293	0.0506061	0.252459	0.129177	0.0631157	0.071516	-0.0164998	0.141364	0.085787	0.00768309	-0.0317303	0.0799743	-0.0409552	0.0595457	-0.0329512
3993.85	-0.119786	0.0773787	0.0354496	-0.0582873	0.0570098	-0.00537216	-0.0112471	0.0764589	-0.0155863	0.0390907	0.233184	-0.00996969	0.0471167	0.0523647	-0.00529305	0.0504533	0.252123	0.128508	0.0631264	0.0710948	-0.0163785	0.141408	0.0854566	0.0072408	-0.0318749	0.0801208	-0.0412509	0.0589102	-0.0330694
3991.93	-0.119885	0.0773917	0.0356534	-0.0579508	0.0570471	-0.0057783	-0.0112979	0.0763576	-0.0154139	0.0391074	0.232857	-0.00988481	0.0474976	0.0524685	-0.00517284	0.0506682	0.25189	0.128788	0.0631833	0.0715471	-0.0164119	0.141356	0.0855524	0.00704264	-0.0318454	0.0797997	-0.0409205	0.0585475	-0.0331601
3990	-0.119991	0.0784562	0.0358643	-0.0574222	0.0574386	-0.00535223	-0.0110092	0.0767949	-0.0150121	0.0398779	0.233102	-0.0096066	0.0479738	0.0531659	-0.00468258	0.0516282	0.251751	0.129961	0.0641609	0.072104	-0.0158388	0.141942	0.085592	0.00730421	-0.0314462	0.0804113	-0.0405412	0.0591088	-0.0329429
3988.07	-0.120469	0.078303	0.0366107	-0.0578651	0.0576696	-0.00553569	-0.0114226	0.0765945	-0.0150254	0.0398849	0.23288	-0.00978038	0.0479128	0.0533293	-0.00475302	0.0511897	0.251204	0.129987	0.0635509	0.0717651	-0.015881	0.1424	0.0855701	0.0070352	-0.0317959	0.0807761	-0.0410238	0.0590421	-0.0333771
3986.14	-0.120746	0.0776031	0.0368902	-0.0582572	0.0575896	-0.00591858	-0.011651	0.0763948	-0.0152016	0.0392288	0.232391	-0.00994032	0.0473219	0.0531949	-0.00488602	0.05087	0.250908	0.129023	0.062885	0.0713748	-0.016285	0.142171	0.0855974	0.00669363	-0.0323206	0.0805234	-0.0413125	0.0584752	-0.0339571
3984.21	-0.120631	0.0777956	0.0362286	-0.0583809	0.057112	-0.00559595	-0.0111271	0.0759664	-0.0153276	0.038681	0.232515	-0.0101473	0.0467934	0.0525123	-0.00516393	0.0506877	0.251008	0.12833	0.0633642	0.0712754	-0.0166815	0.141997	0.0852729	0.0064333	-0.0324585	0.0798768	-0.0409104	0.0579507	-0.0340361
3982.28	-0.12126	0.0780209	0.0362159	-0.0587339	0.0569004	-0.00546499	-0.0104253	0.0758236	-0.0151492	0.0390142	0.233284	-0.00977325	0.0470567	0.0523151	-0.00486892	0.0504035	0.251692	0.128354	0.0639659	0.0709852	-0.0168165	0.142785	0.0855293	0.00663395	-0.0318188	0.0798772	-0.0407287	0.0581208	-0.0340692
3980.36	-0.121787	0.0774866	0.0364832	-0.0589391	0.056583	-0.0058416	-0.0110029	0.0753883	-0.0154986	0.0390325	0.232886	-0.0097844	0.0469771	0.0521254	-0.0048222	0.0495942	0.251874	0.128644	0.0639584	0.0707063	-0.0168417	0.142478	0.0850235	0.00640143	-0.0319133	0.0797351	-0.0412094	0.0580972	-0.0346518
3978.43	-0.121079	0.0772417	0.0364476	-0.0588973	0.0562664	-0.0062765	-0.0118261	0.0750265	-0.0162984	0.0387896	0.232135	-0.0100947	0.0467438	0.0520769	-0.00474302	0.0492753	0.251569	0.128702	0.0637966	0.0704532	-0.0168977	0.141869	0.0842248	0.00602891	-0.0329367	0.0791918	-0.0416877	0.0579224	-0.0345715
3976.5	-0.121025	0.0775822	0.0369121	-0.0585958	0.0562307	-0.00645263	-0.0115428	0.0751085	-0.016112	0.0391443	0.232003	-0.0100285	0.0469405	0.0525514	-0.00449574	0.0503673	0.250759	0.128629	0.0643465	0.0704026	-0.0165977	0.142633	0.0846548	0.00622351	-0.032934	0.0794879	-0.041361	0.0580199	-0.0339867
3974.57	-0.121346	0.0777998	0.037034	-0.058423	0.0558066	-0.00634638	-0.0111493	0.0751038	-0.0160628	0.0391915	0.23199	-0.00993595	0.04681	0.0525452	-0.0047423	0.0508319	0.250611	0.128652	0.0643637	0.0703134	-0.0163591	0.142809	0.0847666	0.00622684	-0.0326944	0.0798389	-0.041384	0.0580773	-0.0342847
3972.64	-0.121342	0.0781233	0.0374486	-0.0579512	0.056553	-0.00616012	-0.0106584	0.0751132	-0.015787	0.0393963	0.232392	-0.00950505	0.0467545	0.0525708	-0.00435277	0.0507736	0.251943	0.128912	0.0644541	0.0706245	-0.016226	0.142599	0.0846033	0.0064929	-0.03209	0.08017	-0.0409601	0.0579427	-0.0344326
